idade,renda,score_serasa,interesse,dias_ult_compra,vlr_tran_total_6m,gasto_vinho_6m,gasto_queijo_6m,gasto_cerveja_6m,gasto_flv_6m,gasto_mercearia_6m
40,2758.8,506.0,0.02,183,28.8,0.0,0.0,0.0,0.67,0.0
40,3589.65,634.04,0.74,59,273.17,1.1,1.18,0.0,0.88,0.0
41,3947.06,634.11,0.66,61,228.91,0.65,0.26,301.48,0.0,5.97
42,2326.38,562.0,0.68,43,202.13,0.0,0.01,0.0,2.29,0.0
45,3040.6,601.88,0.68,48,62.14,0.0,0.0,0.0,7.35,0.0
48,4052.35,687.68,1.0,5,2499.29,0.0,40.1,0.0,173.62,215.38
43,2484.02,480.23,0.0,183,0.0,0.05,0.05,0.0,0.0,1.11
41,2534.51,487.15,0.01,181,8.15,0.0,0.0,0.0,0.34,0.0
43,3457.22,625.25,0.71,41,153.31,0.13,0.01,0.0,7.43,0.0
42,3265.1,551.25,0.7,51,218.7,0.0,0.64,598.31,12.14,0.0
48,4382.91,602.36,1.0,6,2459.82,49.39,46.56,389.23,200.4,114.21
44,8012.68,764.15,1.0,26,948.38,31.56,0.24,39.47,85.66,5.9
42,2914.53,580.69,0.65,48,179.4,0.1,0.0,0.41,5.63,13.3
42,7972.22,787.09,0.99,13,858.53,78.61,0.0,0.0,30.87,73.33
43,4368.86,735.41,1.0,26,668.12,1.14,23.91,1.86,41.74,59.83
44,7339.1,763.57,1.0,23,885.38,48.75,0.0,28.19,94.85,54.3
40,3675.22,649.34,0.67,63,295.99,0.0,1.22,240.19,5.39,63.08
47,6032.31,750.24,0.96,28,595.14,0.0,29.3,10.8,40.1,12.98
46,6612.63,763.97,1.0,34,846.08,158.64,0.0,32.12,64.42,63.87
41,3083.24,595.63,0.69,51,311.25,0.0,0.0,0.0,8.26,8.58
44,5901.03,768.15,1.0,21,846.09,43.42,0.0,53.21,47.74,9.67
46,5550.13,680.11,1.0,25,610.96,0.0,21.52,4.18,38.92,63.09
42,6903.24,737.5,1.0,20,866.11,34.75,3.94,98.93,56.81,65.62
40,3717.08,510.44,0.0,181,0.0,0.0,0.0,0.0,0.0,0.0
43,2359.02,545.39,0.71,62,118.34,3.74,0.0,1124.37,2.04,21.27
48,4055.54,653.95,0.99,4,2526.85,0.0,44.05,0.0,248.16,320.79
40,3287.7,510.46,0.0,182,0.0,0.12,0.04,0.16,0.0,0.38
44,2645.01,562.98,0.69,42,190.64,0.01,0.0,0.22,13.84,15.18
46,4263.82,593.35,1.0,2,2444.98,0.55,8.08,8.23,222.04,421.52
42,2968.0,488.09,0.0,181,2.53,0.0,0.03,0.0,0.19,0.0
51,3479.75,687.27,0.99,5,2463.71,0.0,28.75,31.81,226.63,196.25
44,3252.1,601.66,0.67,46,136.98,0.0,0.0,0.0,15.44,9.01
43,5692.69,775.08,0.97,31,512.87,1.49,26.63,0.0,38.64,77.17
43,6728.2,791.6,0.99,28,788.93,154.86,16.69,69.23,6.02,55.46
43,5302.42,762.04,0.98,32,501.09,0.0,29.63,3.7,34.28,52.23
42,3562.95,579.79,0.66,62,263.91,2.78,0.1,0.0,0.0,8.02
44,6173.89,718.46,0.97,32,511.97,0.0,30.77,0.0,30.36,23.24
43,8860.64,798.74,1.0,26,786.28,26.21,2.85,0.0,0.0,79.97
42,2795.13,567.19,0.0,180,1.12,0.04,0.0,0.0,0.0,1.51
46,2286.62,531.7,0.73,46,122.93,0.0,0.0,0.0,0.0,21.3
46,3864.74,613.61,1.0,6,2527.93,0.0,16.25,0.0,226.78,114.0
45,7633.86,773.37,1.0,16,824.58,122.23,11.86,15.01,46.43,45.87
48,3175.24,632.16,1.0,2,2445.28,0.0,0.0,477.57,235.43,309.75
49,4066.25,659.92,0.99,5,2437.33,28.24,33.07,196.15,310.31,254.14
44,2757.57,509.23,0.66,56,228.23,0.0,0.0,0.0,11.04,18.55
43,2762.62,568.63,0.68,50,178.36,0.0,0.0,0.0,8.18,15.8
41,2990.26,589.42,0.69,69,269.11,0.26,0.0,97.88,0.0,0.0
43,3245.25,602.57,0.67,43,125.6,0.13,0.0,0.16,13.67,22.69
43,5684.12,754.11,1.0,31,632.19,0.0,32.53,6.42,66.62,37.08
39,2040.44,486.1,0.0,182,0.0,0.0,0.0,0.0,0.28,1.07
45,5780.62,767.29,1.0,28,500.89,0.0,14.2,0.79,60.62,28.72
44,3319.82,562.51,0.63,45,109.19,0.0,0.0,0.19,10.76,2.75
43,2178.72,457.66,0.01,183,1.87,0.0,0.0,0.05,0.93,0.0
41,3294.15,587.55,0.67,70,202.54,1.6,1.4,0.0,0.0,21.83
43,3034.71,462.71,0.0,181,0.0,0.03,0.0,0.19,0.0,0.0
42,3309.86,490.99,0.0,180,0.0,0.03,0.02,0.0,0.12,0.0
47,3266.08,619.02,1.0,9,2593.21,10.76,25.5,0.0,169.2,342.94
45,5847.52,758.86,0.97,27,632.53,1.4,28.28,14.18,28.88,62.78
43,6757.53,767.25,0.97,21,672.9,125.26,0.0,88.16,48.1,22.08
45,4800.22,758.46,1.0,31,646.98,0.0,13.91,0.0,59.02,19.07
45,7450.1,797.57,1.0,18,825.28,99.43,0.0,0.0,0.0,43.58
41,2491.89,544.53,0.0,180,0.0,0.08,0.01,0.25,0.45,0.48
43,2595.16,479.28,0.0,182,0.0,0.14,0.0,0.0,0.12,0.0
43,5049.68,798.9,1.0,32,638.0,0.0,36.32,0.0,0.0,57.05
45,7216.08,818.24,0.95,21,897.75,204.0,11.36,0.0,22.87,16.56
44,2327.85,542.77,0.65,46,131.42,0.02,0.02,0.46,8.63,0.0
48,4183.87,629.59,0.99,4,2583.92,0.0,2.88,0.0,230.57,169.61
46,4058.24,614.83,1.0,2,2516.98,5.9,46.98,677.75,278.07,242.76
43,5520.66,744.25,1.0,21,425.49,0.31,8.27,3.58,62.42,20.19
40,3206.15,483.65,0.0,181,0.0,0.1,0.02,0.17,0.0,4.86
41,2691.34,596.21,0.68,61,285.75,0.0,0.18,351.22,0.0,0.0
45,4702.79,746.63,1.0,24,534.53,1.23,26.24,19.59,16.64,45.29
40,4895.97,711.06,1.0,26,749.79,0.0,14.39,0.0,57.86,46.32
48,3392.47,592.08,1.0,7,2476.58,0.0,21.05,754.19,228.51,111.38
44,3237.05,566.55,0.68,47,81.49,0.0,0.01,0.62,7.5,1.68
42,3628.25,608.83,0.65,59,242.19,1.0,0.0,344.11,7.71,2.24
47,2894.32,569.37,0.67,46,177.9,0.0,0.07,0.0,3.15,0.0
41,3060.87,526.58,0.01,184,23.57,0.0,0.0,0.0,0.0,0.0
43,2020.61,536.21,0.0,181,0.0,0.0,0.05,0.0,0.47,0.0
44,7678.88,789.08,0.99,20,842.18,68.51,17.43,0.0,50.36,44.38
45,2837.47,610.91,0.68,51,98.64,0.08,0.0,0.44,17.17,0.0
42,6910.54,735.52,0.99,22,840.74,108.13,0.0,63.62,11.83,37.54
42,5416.89,769.84,1.0,29,790.62,177.39,0.0,77.75,31.89,72.49
45,2535.77,653.87,1.0,4,2467.07,43.99,17.25,1395.23,130.77,184.58
46,3008.83,539.15,0.62,43,154.05,0.0,0.0,0.0,0.0,27.67
46,3299.93,567.77,0.68,52,186.97,0.01,0.0,0.7,9.73,12.29
43,7316.93,820.67,1.0,22,807.76,0.0,0.0,17.61,61.53,48.74
42,7990.83,786.73,1.0,19,969.32,123.37,10.14,0.0,86.73,44.84
42,5101.16,750.55,1.0,20,619.85,0.12,43.84,0.0,66.91,39.59
42,5571.42,748.93,0.96,25,459.36,2.14,31.18,0.0,48.87,31.99
42,1658.72,544.79,0.64,40,83.56,0.06,0.04,0.18,6.67,18.64
44,3019.18,556.35,0.63,51,155.45,0.0,0.03,0.0,2.08,11.87
44,2186.38,538.71,0.67,46,147.93,0.0,0.0,0.56,0.0,9.58
40,3580.87,630.26,0.66,48,261.34,0.0,1.57,0.0,5.11,0.0
44,7471.39,796.86,1.0,26,719.76,265.47,7.51,0.0,19.59,16.81
42,5284.78,768.66,1.0,28,514.5,0.0,27.24,9.39,82.43,56.52
42,3466.63,626.53,0.69,50,115.54,0.0,0.47,81.82,0.0,0.0
42,2941.54,521.66,0.63,57,322.39,2.73,0.03,709.23,1.59,0.0
41,3684.31,533.35,0.69,59,253.67,0.0,0.06,0.0,5.47,73.72
42,2979.71,531.34,0.02,181,10.85,0.0,0.0,0.17,0.0,0.0
43,7467.87,774.01,1.0,22,735.77,20.5,0.0,35.71,68.72,43.24
45,3990.98,579.11,0.74,45,180.38,0.03,0.0,1.95,11.78,1.0
48,3745.69,663.45,0.99,3,2406.38,27.23,10.54,698.82,106.57,200.97
46,3817.78,573.7,0.69,43,93.62,0.03,0.0,0.27,0.0,1.86
47,4302.61,579.81,1.0,6,2554.67,0.0,29.91,0.0,161.98,226.33
41,2835.78,542.95,0.01,181,0.0,0.0,0.02,0.0,0.06,0.0
43,3894.18,583.26,0.7,47,292.52,0.5,0.02,1416.19,0.0,0.0
43,2604.68,568.63,0.0,179,0.0,0.09,0.0,0.0,0.53,0.0
40,2993.91,514.28,0.0,183,0.0,0.02,0.0,0.03,0.33,3.01
45,5358.82,793.84,0.95,20,485.75,0.0,17.02,4.11,5.07,27.99
46,3460.77,633.16,1.0,1,2419.88,11.04,2.37,196.74,165.54,367.88
43,2938.29,534.03,0.71,47,139.14,0.0,0.03,0.26,8.34,0.0
43,4922.8,738.79,1.0,32,513.03,0.19,4.77,1.64,38.09,40.33
43,3216.46,528.07,0.66,41,164.65,0.0,0.0,0.0,12.75,5.52
40,2935.92,552.01,0.63,58,267.59,0.18,0.0,0.0,0.0,0.84
48,3863.22,678.92,0.99,5,2534.48,19.94,18.24,692.96,175.31,203.61
44,5284.4,717.55,1.0,23,514.58,0.0,16.04,15.45,63.78,38.9
47,4579.06,679.0,1.0,4,2493.42,0.0,12.03,922.13,166.93,212.3
45,3275.24,618.7,0.66,50,134.52,0.13,0.0,0.56,9.1,1.82
43,7332.81,756.69,1.0,29,868.82,139.49,9.8,0.0,18.96,24.26
43,3942.37,568.31,0.7,65,293.04,1.42,0.0,361.9,6.27,0.0
41,3043.78,608.02,0.69,53,174.83,0.06,0.01,0.0,0.0,27.02
44,2275.23,582.51,0.66,43,207.43,0.0,0.0,0.0,11.33,2.31
42,3637.69,582.62,0.67,66,223.14,0.0,0.46,0.0,4.95,6.14
45,5996.05,719.78,1.0,25,471.13,0.0,16.82,0.0,42.06,37.56
46,4932.28,744.98,0.96,32,621.08,0.1,28.13,0.0,41.87,49.57
45,5627.48,736.25,1.0,38,644.49,0.0,31.41,0.0,34.99,33.21
42,3338.95,552.24,0.7,59,303.53,0.0,0.0,247.08,5.22,41.65
41,3272.64,556.11,0.66,61,260.04,0.06,0.0,697.81,9.97,0.0
44,5011.0,781.64,0.97,32,622.59,0.0,10.81,0.0,44.16,16.92
46,2666.46,552.31,0.66,44,166.88,0.0,0.04,0.21,10.94,6.82
43,7476.62,743.52,1.0,16,791.95,119.71,0.0,51.54,33.32,62.63
44,2392.99,591.29,0.66,44,137.52,0.0,0.02,0.0,5.46,15.48
41,2388.11,500.71,0.01,182,0.0,0.13,0.0,0.2,1.64,0.8
45,7571.18,791.83,1.0,21,730.7,115.1,0.0,19.18,29.17,25.1
45,6072.17,739.84,1.0,25,872.44,73.87,0.0,0.0,109.05,13.21
40,2649.71,538.34,0.0,181,24.4,0.0,0.04,0.06,1.2,0.0
44,2429.07,512.53,0.01,181,0.0,0.0,0.0,0.02,0.0,0.0
40,3532.15,526.02,0.67,65,323.07,0.0,0.0,483.38,5.81,0.0
39,4617.14,618.83,0.68,59,269.06,0.3,0.0,0.0,7.75,0.0
44,4348.25,735.61,0.97,26,492.93,0.0,24.69,10.55,36.78,60.13
41,7099.25,783.02,1.0,17,726.6,75.28,12.25,20.02,0.0,52.22
42,3286.78,622.97,0.63,47,189.0,0.0,0.0,1.37,1.5,22.6
50,4657.52,650.03,1.0,3,2497.43,6.57,21.95,290.88,271.34,311.01
43,6664.0,752.81,1.0,23,959.95,11.51,0.0,71.21,56.06,12.13
40,2198.26,581.62,0.74,60,216.32,0.6,0.54,838.35,5.15,75.61
41,3627.42,607.8,0.69,56,255.2,1.61,0.0,0.0,6.47,0.0
44,7862.82,765.19,1.0,17,755.53,170.42,6.7,0.0,49.99,24.64
46,5753.94,744.93,1.0,27,611.92,2.15,18.49,0.0,27.03,6.82
40,3665.09,521.61,0.63,60,279.88,0.0,0.44,0.0,1.98,33.55
43,4363.85,569.29,0.66,63,287.54,0.0,0.0,0.0,3.57,7.89
44,3608.6,667.44,1.0,3,2430.61,38.02,13.31,0.0,199.62,365.79
45,5379.93,765.07,0.98,31,562.62,0.67,11.38,1.03,58.78,60.86
44,7326.75,746.68,0.99,27,751.3,100.92,7.05,60.17,83.59,15.57
45,4676.17,779.67,0.94,39,533.55,0.0,17.13,0.0,54.87,34.34
45,3328.29,535.48,0.62,48,173.98,0.03,0.04,0.02,5.54,22.18
41,3787.09,638.87,0.64,61,203.23,0.0,1.4,0.0,3.98,15.15
48,3692.57,680.29,1.0,2,2439.57,0.0,0.0,352.86,298.16,209.17
42,2378.69,491.77,0.0,179,0.0,0.17,0.02,0.13,0.0,5.04
45,4332.48,745.96,1.0,34,571.64,0.0,46.07,0.0,1.81,49.12
42,3488.28,604.45,0.69,66,277.74,0.0,0.23,0.0,0.0,54.33
47,2808.74,616.69,0.66,52,199.45,0.17,0.0,0.0,6.93,10.19
39,3734.62,599.82,0.66,57,254.76,1.68,0.0,328.37,0.0,0.0
47,3256.14,662.87,0.98,1,2588.67,7.61,33.91,270.19,195.03,160.43
49,3478.72,667.49,1.0,0,2415.88,0.0,43.19,0.0,159.64,266.38
47,3253.3,677.38,0.99,6,2565.51,0.0,30.7,0.0,176.73,272.59
39,3638.27,628.9,0.63,62,302.02,3.9,0.0,0.0,4.04,40.76
45,3190.26,564.27,0.68,52,187.98,0.0,0.0,0.0,2.93,8.04
44,3102.97,617.46,0.66,56,159.88,0.0,0.02,0.33,0.55,0.0
45,6772.28,782.33,1.0,22,781.93,115.85,0.0,0.0,24.46,73.25
44,4199.26,710.11,1.0,31,485.92,1.12,24.28,0.0,0.0,17.61
41,3771.09,525.04,0.64,64,266.48,0.0,0.34,70.99,3.98,0.0
44,5114.17,756.84,1.0,31,568.78,0.0,29.03,0.0,2.77,43.21
46,3476.94,622.88,0.98,1,2402.74,0.0,6.91,0.0,288.14,205.42
44,3394.03,569.9,0.65,41,157.37,0.0,0.01,0.66,0.0,0.0
43,1871.36,524.42,0.01,181,35.96,0.0,0.0,0.28,0.49,0.0
40,3100.47,532.79,0.0,182,1.54,0.06,0.0,0.0,1.2,1.14
48,3933.84,598.46,0.98,5,2555.01,4.6,51.98,1221.31,234.87,294.0
45,3551.89,629.17,1.0,6,2491.2,0.0,24.84,1032.32,250.36,241.11
43,7107.16,770.23,1.0,21,805.75,70.58,0.0,0.0,0.0,57.07
43,3343.72,598.63,0.68,49,150.61,0.0,0.01,0.0,10.49,38.62
45,5495.86,749.12,1.0,26,378.96,0.0,23.28,5.38,51.09,51.05
43,2978.76,622.81,0.66,49,128.79,0.0,0.0,0.0,3.06,25.0
47,3074.8,654.25,0.98,2,2383.19,0.0,8.28,520.58,175.31,297.62
40,4130.95,644.41,0.69,64,170.79,0.0,0.0,199.93,12.47,13.24
41,2903.13,596.56,0.7,68,171.74,0.0,0.0,0.0,2.63,42.26
41,2401.25,529.98,0.68,41,156.98,0.0,0.0,0.0,12.59,12.11
43,2583.99,537.81,0.67,43,219.51,0.0,0.01,0.0,0.0,0.0
43,5315.49,739.67,1.0,26,515.23,1.61,17.84,0.0,29.36,6.56
44,3690.71,510.41,0.67,36,191.38,0.05,0.0,0.14,4.7,0.0
43,8326.9,773.66,1.0,23,970.94,199.45,6.39,29.12,31.03,68.64
47,4522.61,581.2,0.99,2,2452.9,0.0,24.54,0.0,242.63,320.34
45,6963.58,776.82,1.0,24,640.32,57.74,0.0,83.76,38.65,78.35
48,3402.06,670.42,1.0,8,2324.18,21.09,14.03,177.96,159.1,220.04
44,7340.74,766.63,1.0,16,755.09,146.44,15.41,57.63,66.67,83.8
43,2758.25,596.46,0.67,44,137.29,0.0,0.0,0.55,6.86,0.0
43,3188.3,556.15,0.01,181,0.0,0.21,0.0,0.19,0.62,0.0
39,2608.11,485.07,0.02,181,14.44,0.12,0.0,0.0,0.0,0.0
41,2570.83,541.2,0.0,182,0.0,0.19,0.01,0.09,0.97,0.0
44,7186.75,767.31,1.0,28,967.38,76.32,0.0,51.95,55.32,36.62
42,3876.46,569.17,0.62,68,210.79,0.0,0.0,316.55,0.0,4.75
44,6684.09,782.77,0.98,29,913.45,126.56,0.0,0.0,36.89,91.47
47,3751.78,645.46,0.99,5,2440.11,24.54,0.0,909.43,226.78,108.14
42,4577.18,753.62,1.0,27,535.89,0.02,24.99,0.0,22.92,67.08
45,7951.68,771.55,1.0,24,846.57,67.78,10.66,0.0,47.15,25.11
42,3446.54,570.33,0.63,52,260.3,7.36,0.0,0.0,3.17,27.71
44,7409.54,773.3,0.99,19,690.56,82.8,13.54,38.5,11.15,54.12
